CATEGORIA;CCAA;PROVINCIA;VALORACION_POR_CATEGORIA;TOTAL_OPINIONES_CATEGORIA;VALORACION_GENERAL;;;;;;;Err:501
Comida y Bebida;Cataluña;Barcelona;4,68;1927;4,12;;;;;;;
Comida y Bebida;Cataluña;Girona;4,54;80;4,28;;;;;;;
Comida y Bebida;Cataluña;Lleida;4,86;7;4,27;;;;;;;
Comida y Bebida;Comunitat Valenciana;Alicante/Alacant;4,56;182;4,29;;;;;;;
Comida y Bebida;Extremadura;Caceres;4,5;2;4,39;;;;;;;
Comida y Bebida;Galicia;A Coruña;4,33;25;4,26;;;;;;;
Comida y Bebida;Galicia;Lugo;4,4;5;4,29;;;;;;;
Comida y Bebida;Galicia;Pontevedra;4,22;93;4,2;;;;;;;
Comida y Bebida;Pais Vasco;Araba/Alava;4,4;154;4,43;;;;;;;
Comida y Bebida;Pais Vasco;Bizkaia;4,47;275;4,36;;;;;;;
Comida y Bebida;Principado de Asturias;Asturias;4,27;42;4,38;;;;;;;
Comida y Bebida;Region de Murcia;Murcia;4;106;4,26;;;;;;;
Comida y Bebida;Andalucia;Cadiz;4,72;48;4,31;;;;;;;
Comida y Bebida;Andalucia;Granada;4,73;663;4,41;;;;;;;
Comida y Bebida;Andalucia;Sevilla;4,79;3687;4,36;;;;;;;
Comida y Bebida;Aragon;Huesca;4,6;20;4,27;;;;;;;
Comida y Bebida;Aragon;Zaragoza;4,05;34;4,22;;;;;;;
Comida y Bebida;Canarias;Santa Cruz de Tenerife;4,5;39;4,29;;;;;;;
Comida y Bebida;Cantabria;Cantabria;4,64;25;4,31;;;;;;;
Comida y Bebida;Castilla La Mancha;Cuenca;4,68;34;4,23;;;;;;;
Comida y Bebida;Castilla La Mancha;Guadalajara;3;2;4,1;;;;;;;
Comida y Bebida;Castilla y Leon;Burgos;4,9;157;4,33;;;;;;;
Comida y Bebida;Castilla y Leon;Leon;4,95;219;4,26;;;;;;;
Comida y Bebida;Castilla y Leon;Salamanca;4,76;50;4,21;;;;;;;
Comida y Bebida;Castilla y Leon;Segovia;5;1;4,1;;;;;;;
Comida y Bebida;Castilla y Leon;Soria;4,5;2;3,96;;;;;;;
Comida y Bebida;Cataluña;Tarragona;4,61;207;4,22;;;;;;;
Comida y Bebida;Comunidad Foral De Navarra;Navarra;4,67;70;4,27;;;;;;;
Comida y Bebida;Comunidad de Madrid;Madrid;4,7;2955;4,19;;;;;;;
Comida y Bebida;Comunitat Valenciana;Valencia/Valencia;4,86;348;4,2;;;;;;;
Comida y Bebida;Illes Baleares;Balears;4,9;979;4,36;;;;;;;
Comida y Bebida;La Rioja;La Rioja;4,7;85;4,33;;;;;;;
