CATEGORIA;CCAA;PROVINCIA;VALORACION_POR_CATEGORIA;TOTAL_OPINIONES_CATEGORIA;VALORACION_GENERAL;;;;;;;Err:501
Paisaje Urbano;Castilla La Mancha;Cuenca;3,95;10901;4,23;;;;;;;
Paisaje Urbano;Castilla La Mancha;Guadalajara;4,03;5264;4,1;;;;;;;
Paisaje Urbano;Castilla La Mancha;Toledo;4,04;40606;4,23;;;;;;;
Paisaje Urbano;Castilla y Leon;Burgos;4,22;17745;4,33;;;;;;;
Paisaje Urbano;Castilla y Leon;Leon;4,11;19997;4,26;;;;;;;
Paisaje Urbano;Castilla y Leon;Palencia;4,29;3724;4,38;;;;;;;
Paisaje Urbano;Castilla y Leon;Salamanca;4,06;31015;4,21;;;;;;;
Paisaje Urbano;Castilla y Leon;Segovia;3,96;21808;4,1;;;;;;;
Paisaje Urbano;Castilla y Leon;Soria;3,85;6677;3,96;;;;;;;
Paisaje Urbano;Castilla y Leon;Valladolid;3,78;10112;4,06;;;;;;;
Paisaje Urbano;Castilla y Leon;Zamora;3,98;6055;4,21;;;;;;;
Paisaje Urbano;Castilla y Leon;Avila;3,99;13978;4,24;;;;;;;
Paisaje Urbano;Cataluña;Barcelona;3,9;565405;4,12;;;;;;;
Paisaje Urbano;Cataluña;Girona;4,08;40641;4,28;;;;;;;
Paisaje Urbano;Cataluña;Lleida;4,1;4740;4,27;;;;;;;
Paisaje Urbano;Cataluña;Tarragona;3,96;23819;4,22;;;;;;;
Paisaje Urbano;Comunidad Foral De Navarra;Navarra;4,18;13758;4,27;;;;;;;
Paisaje Urbano;Comunidad De Madrid;Madrid;3,96;217394;4,19;;;;;;;
Paisaje Urbano;Comunitat Valenciana;Alicante/Alacant;4,06;47316;4,29;;;;;;;
Paisaje Urbano;Comunitat Valenciana;Castellon/Castellon;4,17;10896;4,27;;;;;;;
Paisaje Urbano;Comunitat Valenciana;Valencia/Valencia;4,18;45181;4,2;;;;;;;
Paisaje Urbano;Extremadura;Badajoz;4,25;17682;4,34;;;;;;;
Paisaje Urbano;Extremadura;Caceres;4,18;14788;4,39;;;;;;;
Paisaje Urbano;Galicia;A Coruña;4,2;41668;4,26;;;;;;;
Paisaje Urbano;Galicia;Lugo;4,05;6548;4,29;;;;;;;
Paisaje Urbano;Galicia;Ourense;4,18;4079;4,23;;;;;;;
Paisaje Urbano;Galicia;Pontevedra;4,11;13491;4,2;;;;;;;
Paisaje Urbano;Illes Baleares;Balears;4,09;72985;4,36;;;;;;;
Paisaje Urbano;La Rioja;La Rioja;4,16;9638;4,33;;;;;;;
Paisaje Urbano;Melilla;Melilla;3;1;4,41;;;;;;;
Paisaje Urbano;Pais Vasco;Araba/Alava;4,41;6249;4,43;;;;;;;
Paisaje Urbano;Pais Vasco;Bizkaia;4,29;25339;4,36;;;;;;;
Paisaje Urbano;Pais Vasco;Gipuzkoa;4,22;17484;4,4;;;;;;;
Paisaje Urbano;Principado De Asturias;Asturias;4,24;26129;4,38;;;;;;;
Paisaje Urbano;Region De Murcia;Murcia;4,11;6738;4,26;;;;;;;
Servicios;Andalucia;Almeria;4,37;186;4,26;;;;;;;
Servicios;Andalucia;Cadiz;3,88;38;4,31;;;;;;;
Servicios;Andalucia;Cadiz;4,31;16;4,31;;;;;;;
Servicios;Andalucia;Granada;4,67;1323;4,41;;;;;;;
Servicios;Andalucia;Huelva;4,11;106;4,15;;;;;;;
Servicios;Andalucia;Jaen;4,56;35;4,39;;;;;;;
Servicios;Andalucia;Malaga;4,73;19462;4,46;;;;;;;
Servicios;Andalucia;Sevilla;3,93;2395;4,36;;;;;;;
Servicios;Andalucia;Huesca;4,9;179;4,27;;;;;;;
Servicios;Aragon;Teruel;4,16;12;4,28;;;;;;;
Servicios;Aragon;Zaragoza;3,81;30;4,22;;;;;;;
Servicios;Canarias;Las Palmas;3,63;1030;4,28;;;;;;;
Servicios;Canarias;Santa Cruz de Tenerife;3,84;2043;4,29;;;;;;;
Servicios;Cantabria;Cantabria;4,24;1647;4,31;;;;;;;
Servicios;Castilla La Mancha;Ciudad;3;1;4,32;;;;;;;
Servicios;Castilla La Mancha;Cuenca;5;2;4,23;;;;;;;
Servicios;Castilla La Mancha;Guadalajara;5;1;4,1;;;;;;;
Servicios;Castilla La Mancha;Toledo;3,32;9;4,23;;;;;;;
Servicios;Castilla y Leon;Burgos;1,92;6;4,33;;;;;;;
Servicios;Castilla y Leon;Leon;4,7;11;4,26;;;;;;;
Servicios;Castilla y Leon;Palencia;5;4;4,38;;;;;;;
Servicios;Castilla y Leon;Salamanca;3,22;484;4,21;;;;;;;
Servicios;Castilla y Leon;Segovia;3,3;46;4,1;;;;;;;
Servicios;Castilla y Leon;Soria;2;1;3,96;;;;;;;
Servicios;Castilla y Leon;Valladolid;2,64;53;4,06;;;;;;;
Servicios;Castilla y Leon;Zamora;5;1;4,21;;;;;;;
Servicios;Cataluña;Barcelona;4;65068;4,12;;;;;;;
Servicios;Cataluña;Girona;4,19;568;4,28;;;;;;;
Servicios;Cataluña;Lleida;3,8;102;4,27;;;;;;;
Servicios;Cataluña;Tarragona;3,46;3065;4,22;;;;;;;
Servicios;Comunidad Foral De Navarra;Navarra;2,1;51;4,27;;;;;;;
Servicios;Comunidad De Madrid;Madrid;3,79;16480;4,19;;;;;;;
Servicios;Comunitat Valenciana;Alicante/Alacant;3,84;12541;4,29;;;;;;;
Servicios;Comunitat Valenciana;Castellon/Castello;3,69;244;4,27;;;;;;;
Servicios;Comunitat Valenciana;Valencia/ValEncia;4,58;2778;4,2;;;;;;;
Servicios;Extremadura;Caceres;4,99;34;4,39;;;;;;;
Servicios;Galicia;A Coruña;4,07;243;4,26;;;;;;;
Servicios;Galicia;Lugo;3,86;110;4,29;;;;;;;
Servicios;Galicia;Ourense;3,18;18;4,23;;;;;;;
Servicios;Galicia;Pontevedra;4,09;493;4,2;;;;;;;
Servicios;Illes Baleares;Balears;4,18;16855;4,36;;;;;;;
Servicios;La Rioja;La Rioja;4,78;10;4,33;;;;;;;
Servicios;Pais Vasco;Araba/Alava;5;9;4,43;;;;;;;
Servicios;Pais Vasco;Bizkaia;3,95;4696;4,36;;;;;;;
Servicios;Pais Vasco;Gipuzkoa;3,78;104;4,4;;;;;;;
Servicios;Principado De Asturias;Asturias;4,19;1132;4,38;;;;;;;
Servicios;Region De Murcia;Murcia;3,38;8;4,26;;;;;;;
Vida Nocturna;Andalucia;Almeria;3,78;2003;4,26;;;;;;;
Vida Nocturna;Andalucia;Cadiz;4,14;908;4,31;;;;;;;
Vida Nocturna;Andalucia;Cordoba;4,23;566;4,31;;;;;;;
Vida Nocturna;Andalucia;Granada;3,98;4281;4,41;;;;;;;
Vida Nocturna;Andalucia;Huelva;4,29;576;4,15;;;;;;;
Vida Nocturna;Andalucia;Jaen;3,93;193;4,39;;;;;;;
Vida Nocturna;Andalucia;Malaga;4,34;23240;4,46;;;;;;;
Vida Nocturna;Andalucia;Sevilla;4,09;15619;4,36;;;;;;;
Vida Nocturna;Aragon;Huesca;3,8;479;4,27;;;;;;;
Vida Nocturna;Aragon;Teruel;4,26;415;4,28;;;;;;;
Vida Nocturna;Aragon;Zaragoza;3,74;650;4,22;;;;;;;
Vida Nocturna;Canarias;Las;4,2;49496;4,28;;;;;;;
Vida Nocturna;Canarias;Santa;4,05;23400;4,29;;;;;;;
Vida Nocturna;Cantabria;Cantabria;4,01;2311;4,31;;;;;;;
Vida Nocturna;Castilla La Mancha;Albacete;4,32;247;4,14;;;;;;;
Vida Nocturna;Castilla La Mancha;Ciudad Real;4,1;157;4,32;;;;;;;
Vida Nocturna;Castilla La Mancha;Cuenca;3,93;276;4,23;;;;;;;
Vida Nocturna;Castilla La Mancha;Guadalajara;3,32;166;4,1;;;;;;;
Vida Nocturna;Castilla La Mancha;Toledo;3,95;188;4,23;;;;;;;
Vida Nocturna;Castilla y Leon;Burgos;4,12;391;4,33;;;;;;;
Vida Nocturna;Castilla y Leon;Leon;4,01;646;4,26;;;;;;;
Vida Nocturna;Castilla y Leon;Palencia;4,27;141;4,38;;;;;;;
Vida Nocturna;Castilla y Leon;Salamanca;3,57;1389;4,21;;;;;;;
Vida Nocturna;Castilla y Leon;Segovia;3,85;97;4,1;;;;;;;
Vida Nocturna;Castilla y Leon;Soria;4,19;68;3,96;;;;;;;
Vida Nocturna;Castilla y Leon;Valladolid;4,04;523;4,06;;;;;;;
Vida Nocturna;Castilla y Leon;Zamora;4,42;174;4,21;;;;;;;
Vida Nocturna;Castilla y Leon;Avila;3,88;182;4,24;;;;;;;
Vida Nocturna;Cataluña;Barcelona;3,95;45861;4,12;;;;;;;
Vida Nocturna;Cataluña;Girona;3,84;5401;4,28;;;;;;;
Vida Nocturna;Cataluña;Lleida;3,84;421;4,27;;;;;;;
Vida Nocturna;Cataluña;Tarragona;4,06;8148;4,22;;;;;;;
Vida Nocturna;Comunidad Foral De Navarra;Navarra;3,71;976;4,27;;;;;;;
Vida Nocturna;Comunidad De Madrid;Madrid;3,87;38589;4,19;;;;;;;
Vida Nocturna;Comunitat Valenciana;Alicante/Alacant;4,05;31489;4,29;;;;;;;
Vida Nocturna;Comunitat Valenciana;Castellon/Castellon;3,98;932;4,27;;;;;;;
Vida Nocturna;Comunitat Valenciana;Valencia/Valencia;3,76;3927;4,2;;;;;;;
Vida Nocturna;Extremadura;Badajoz;4,29;954;4,34;;;;;;;
Vida Nocturna;Extremadura;Caceres;3,98;544;4,39;;;;;;;
Vida Nocturna;Galicia;A Coruña;3,66;2515;4,26;;;;;;;
Vida Nocturna;Galicia;Lugo;4,13;213;4,29;;;;;;;
Vida Nocturna;Galicia;Ourense;3,62;300;4,23;;;;;;;
Vida Nocturna;Galicia;Pontevedra;4;1168;4,2;;;;;;;
Vida Nocturna;Illes;Balears;4,05;47637;4,36;;;;;;;
Vida Nocturna;La Rioja;La Rioja;3,67;767;4,33;;;;;;;
Vida Nocturna;Pais Vasco;Araba/Alava;3,75;434;4,43;;;;;;;
Vida Nocturna;Pais Vasco;Bizkaia;4,26;2335;4,36;;;;;;;
Vida Nocturna;Pais Vasco;Gipuzkoa;4,04;2207;4,4;;;;;;;
Vida Nocturna;Principado;Asturias;4,15;4064;4,38;;;;;;;
Vida Nocturna;Region De Murcia;Murcia;3,59;666;4,26;;;;;;;
